tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
3067,6/1/2013 11:40,6/1/2013 12:31,383,Greenwich Ave & Charles St,40.735238,-74.000271,237,E 11 St & 2 Ave,40.73047309,-73.98672378,17234,Subscriber,1962,1
680,6/1/2013 11:40,6/1/2013 11:51,195,Liberty St & Broadway,40.70905623,-74.01043382,152,Warren St & Church St,40.71473993,-74.00910627,18802,Subscriber,1972,1
2072,6/1/2013 11:40,6/1/2013 12:15,319,Fulton St & Broadway,40.711066,-74.009447,342,Columbia St & Rivington St,40.71739973,-73.98016555,16252,Subscriber,1973,1
1927,6/1/2013 11:40,6/1/2013 12:12,325,E 19 St & 3 Ave,40.73624527,-73.98473765,461,E 20 St & 2 Ave,40.73587678,-73.98205027,15203,Subscriber,1952,1
857,6/1/2013 11:40,6/1/2013 11:54,505,6 Ave & W 33 St,40.74901271,-73.98848395,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,15374,Subscriber,1958,1
836,6/1/2013 11:40,6/1/2013 11:54,464,E 56 St & 3 Ave,40.75934501,-73.96759673,528,2 Ave & E 31 St,40.74290902,-73.97706058,15592,Subscriber,1976,2
9305,6/1/2013 11:39,6/1/2013 14:15,473,Rivington St & Chrystie St,40.72110063,-73.9919254,472,E 32 St & Park Ave,40.7457121,-73.98194829,17320,Customer,NULL,0
181,6/1/2013 11:40,6/1/2013 11:43,146,Hudson St & Reade St,40.71625008,-74.0091059,417,Barclay St & Church St,40.71291224,-74.01020234,17534,Subscriber,1969,1
9304,6/1/2013 11:40,6/1/2013 14:15,517,Pershing Square South,40.751581,-73.97791,472,E 32 St & Park Ave,40.7457121,-73.98194829,15794,Customer,NULL,0
938,6/1/2013 11:41,6/1/2013 11:56,352,W 56 St & 6 Ave,40.76340613,-73.97722479,540,Lexington Ave & E 29 St,40.74311555,-73.98215353,15370,Subscriber,1982,1
1044,6/1/2013 11:41,6/1/2013 11:58,422,W 59 St & 10 Ave,40.770513,-73.988038,212,W 16 St & The High Line,40.74334935,-74.00681753,15090,Subscriber,1975,1
1041,6/1/2013 11:41,6/1/2013 11:58,422,W 59 St & 10 Ave,40.770513,-73.988038,212,W 16 St & The High Line,40.74334935,-74.00681753,15678,Subscriber,1958,1
918,6/1/2013 11:41,6/1/2013 11:56,463,9 Ave & W 16 St,40.74206539,-74.00443172,251,Mott St & Prince St,40.72317958,-73.99480012,19293,Subscriber,1982,2
240,6/1/2013 11:37,6/1/2013 11:41,459,W 20 St & 11 Ave,40.746745,-74.007756,435,W 21 St & 6 Ave,40.74173969,-73.99415556,19543,Subscriber,1983,1
351,6/1/2013 11:35,6/1/2013 11:41,510,W 51 St & 6 Ave,40.7606597,-73.98042047,447,8 Ave & W 52 St,40.76370739,-73.9851615,19056,Subscriber,1980,1
13940,6/1/2013 11:42,6/1/2013 15:34,522,E 51 St & Lexington Ave,40.75714758,-73.97207836,368,Carmine St & 6 Ave,40.73038599,-74.00214988,15911,Subscriber,1948,1
241,6/1/2013 11:42,6/1/2013 11:46,482,W 15 St & 7 Ave,40.73935542,-73.99931783,459,W 20 St & 11 Ave,40.746745,-74.007756,17571,Subscriber,1958,2
328,6/1/2013 11:42,6/1/2013 11:47,290,2 Ave & E 58 St,40.76020258,-73.96478473,440,E 45 St & 3 Ave,40.75255434,-73.97282625,14646,Subscriber,1975,1
529,6/1/2013 11:42,6/1/2013 11:51,497,E 17 St & Broadway,40.73704984,-73.99009296,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,15416,Subscriber,1963,1
810,6/1/2013 11:42,6/1/2013 11:56,497,E 17 St & Broadway,40.73704984,-73.99009296,512,W 29 St & 9 Ave,40.7500727,-73.99839279,15028,Subscriber,1981,1
105,6/1/2013 11:42,6/1/2013 11:44,401,Allen St & Rivington St,40.72019576,-73.98997825,473,Rivington St & Chrystie St,40.72110063,-73.9919254,18538,Subscriber,1972,1
125,6/1/2013 11:42,6/1/2013 11:44,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,358,Christopher St & Greenwich St,40.73291553,-74.00711384,16072,Subscriber,1950,1
833,6/1/2013 11:42,6/1/2013 11:56,497,E 17 St & Broadway,40.73704984,-73.99009296,512,W 29 St & 9 Ave,40.7500727,-73.99839279,20215,Subscriber,1979,2
1455,6/1/2013 11:42,6/1/2013 12:07,312,Allen St & Stanton St,40.722055,-73.989111,432,E 7 St & Avenue A,40.72621788,-73.98379855,15085,Subscriber,1971,1
1108,6/1/2013 11:42,6/1/2013 12:01,472,E 32 St & Park Ave,40.7457121,-73.98194829,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,15296,Customer,NULL,0
1246,6/1/2013 11:43,6/1/2013 12:03,384,Fulton St & Washington Ave,40.683048,-73.964915,389,Broadway & Berry St,40.71044554,-73.96525063,15784,Customer,NULL,0
1199,6/1/2013 11:43,6/1/2013 12:03,384,Fulton St & Washington Ave,40.683048,-73.964915,389,Broadway & Berry St,40.71044554,-73.96525063,17988,Customer,NULL,0
750,6/1/2013 11:44,6/1/2013 11:56,233,Cadman Plaza W & Pierrepont St,40.69475701,-73.99052739,390,Duffield St & Willoughby St,40.69221589,-73.9842844,19502,Subscriber,1950,1
2149,6/1/2013 11:44,6/1/2013 12:20,519,Pershing Square North,40.751873,-73.977706,519,Pershing Square North,40.751873,-73.977706,15279,Subscriber,1975,1
1638,6/1/2013 11:39,6/1/2013 12:07,439,E 4 St & 2 Ave,40.7262807,-73.98978041,406,Hicks St & Montague St,40.69512845,-73.99595065,16890,Subscriber,1985,1
524,6/1/2013 11:44,6/1/2013 11:53,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,309,Murray St & West St,40.7149787,-74.013012,16572,Subscriber,1965,2
1463,6/1/2013 11:44,6/1/2013 12:08,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,19017,Subscriber,1982,1
